Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brunei Darussalam,BRN,78.37,78.06,77.76,77.46,77.15,76.85,76.55,76.24,75.94,75.64,75.33,75.01,74.69,74.36,74.04,73.72,73.4,73.07,72.75,72.43,72.11,72.11,72.11,72.11,72.11,72.11,72.11,72.11,72.11,72.11,72.11,72.11,72.11
Cambodia,KHM,62.34,62.22,62.09,61.96,61.84,61.71,61.58,61.46,61.33,61.2,61.08,60.97,60.86,60.75,60.64,60.53,60.42,60.31,60.21,60.1,59.99,58.01,56.04,54.07,52.09,50.12,49.24,48.35,47.47,46.59,45.71,44.83,43.94
Indonesia,IDN,63.14,62.22,61.3,60.38,59.46,58.54,57.62,56.7,55.78,54.86,53.94,53.86,53.77,53.68,53.6,53.51,53.43,53.34,53.25,53.17,53.08,52.59,52.09,51.6,51.11,50.61,50.74,50.04,49.72,49.39,49.07,48.75,48.43
Laos,LAO,77.31,77.13,76.95,76.77,76.58,76.4,76.22,76.04,75.86,75.68,75.5,75.29,75.08,74.87,74.66,74.45,74.24,74.03,73.82,73.61,73.4,73.25,73.1,72.95,72.8,72.65,72.5,72.35,72.2,72.05,71.9,71.75,71.61
Malaysia,MYS,62.76,62.47,62.19,61.91,61.63,61.35,61.06,60.78,60.5,60.22,59.93,59.71,59.48,59.26,59.03,58.8,58.58,58.35,58.12,57.9,57.67,57.98,58.3,58.61,58.93,59.24,58.79,58.63,58.48,58.33,58.18,58.02,57.87
Myanmar,MMR,60.09,59.42,58.76,58.09,57.42,56.76,56.09,55.42,54.76,54.09,53.42,52.9,52.37,51.85,51.32,50.8,50.27,49.75,49.22,48.7,48.17,47.73,47.29,46.84,46.4,45.95,45.51,45.07,44.62,44.18,43.73,43.29,42.85
Philippines,PHL,26.09,25.93,25.77,25.62,25.46,25.3,25.14,24.99,24.83,24.67,24.51,24.36,24.2,24.04,23.88,23.73,23.57,23.41,23.25,23.1,22.94,23.06,23.17,23.29,23.41,23.52,23.64,23.76,23.88,23.99,24.11,24.23,24.34
Singapore,SGP,20.22,20.52,20.82,21.12,21.42,21.71,22.01,22.31,22.61,22.91,23.2,23.3,23.4,23.5,23.6,23.7,23.8,23.9,24.0,24.1,24.2,23.85,23.5,23.16,22.81,22.47,22.21,21.97,21.73,21.48,21.24,20.99,20.74
Thailand,THA,37.9,37.83,37.75,37.68,37.61,37.54,37.47,37.4,37.33,37.26,37.19,37.4,37.61,37.82,38.03,38.24,38.45,38.66,38.87,39.08,39.29,39.29,39.28,39.28,39.27,39.27,39.18,39.11,39.04,38.97,38.9,38.83,38.76
Vietnam,VNM,29.91,30.68,31.45,32.22,32.99,33.76,34.52,35.29,36.06,36.83,37.6,38.11,38.62,39.13,39.64,40.16,40.67,41.18,41.69,42.2,42.71,43.14,43.57,44.0,44.43,44.86,45.87,45.99,46.23,46.48,46.72,46.96,47.2
